check accuracy 0.1
[0.44781893 0.06833495 0.24005859 0.2437875 ]
[1. 0. 0. 0.]
[0.40337467 0.07377017 0.34023014 0.18262495]
[1. 0. 0. 0.]
[0.16829549 0.07324221 0.6902771  0.06818523]
[0. 1. 0. 0.]
check accuracy 0.25
[0.45321023 0.067652   0.23177819 0.24735951]
[0. 0. 1. 0.]
[0.09477677 0.03930155 0.8239278  0.04199376]
[0. 1. 0. 0.]
[0.2510631  0.07126385 0.5779395  0.09973349]
[0. 0. 1. 0.]
[0.41843498 0.06964692 0.2995717  0.21234639]
[1. 0. 0. 0.]
[0.44080642 0.07148426 0.2652424  0.22246683]
[0. 0. 0. 1.]
[0.09098869 0.03263844 0.8380918  0.03828107]
[0. 1. 0. 0.]
[0.4572327  0.06658015 0.22094478 0.25524238]
[0. 0. 0. 1.]
[0.4422642  0.06965678 0.25630638 0.23177263]
[0. 0. 1. 0.]
[0.46673444 0.06526927 0.19889514 0.26910114]
[0. 0. 0. 1.]
[0.45738384 0.06605776 0.21360005 0.26295844]
[1. 0. 0. 0.]
[0.45188427 0.06786534 0.23908909 0.24116136]
[1. 0. 0. 0.]
[0.42125323 0.07436883 0.30586845 0.1985094 ]
[0. 0. 0. 1.]
[0.43188772 0.07306486 0.28090608 0.21414128]
[1. 0. 0. 0.]
[0.42245287 0.07071702 0.28969273 0.21713732]
[0. 0. 0. 1.]
[0.3939005  0.07294932 0.35391524 0.17923486]
[0. 0. 1. 0.]
[0.21107253 0.07531936 0.6355575  0.07805063]
[0. 1. 0. 0.]
[0.06990832 0.02480792 0.87930757 0.02597627]
[1. 0. 0. 0.]
[0.26347834 0.07361494 0.55807817 0.10482857]
[0. 0. 0. 1.]
[0.0844736  0.03225162 0.85352844 0.02974635]
[0. 1. 0. 0.]
[0.3595654  0.07485551 0.40905496 0.15652408]
[1. 0. 0. 0.]
check accuracy 0.15
[0.39864266 0.07379098 0.3454026  0.1821637 ]
[0. 0. 0. 1.]
[0.47189093 0.06369793 0.18185231 0.28255883]
[0. 0. 0. 1.]
[0.38231948 0.0714209  0.37306252 0.17319702]
[0. 0. 1. 0.]
[0.44373786 0.07028193 0.25262758 0.23335257]
[0. 0. 1. 0.]
[0.31615368 0.07619306 0.48352638 0.12412687]
[1. 0. 0. 0.]
[0.45976534 0.06662165 0.2178763  0.25573665]
[0. 0. 0. 1.]
[0.21609722 0.07381023 0.63174045 0.07835207]
[0. 1. 0. 0.]
[0.07699391 0.03124503 0.86471653 0.02704453]
[0. 1. 0. 0.]
[0.43687946 0.06946686 0.27469814 0.21895556]
[0. 0. 0. 1.]
[0.46051896 0.06636724 0.21647996 0.25663388]
[0. 0. 0. 1.]
[0.06477978 0.0223677  0.8912246  0.021628  ]
[0. 1. 0. 0.]
[0.46522605 0.06504589 0.20086822 0.26885992]
[0. 0. 0. 1.]
[0.36748677 0.07827701 0.40553233 0.14870399]
[0. 0. 0. 1.]
[0.46657598 0.06593823 0.21444117 0.2530446 ]
[1. 0. 0. 0.]
[0.39260048 0.07493002 0.35300052 0.17946902]
[0. 0. 1. 0.]
[0.21008277 0.07789252 0.63615024 0.07587446]
[1. 0. 0. 0.]
[0.45983383 0.06774417 0.22051981 0.25190213]
[0. 0. 1. 0.]
[0.4583792  0.06703958 0.22306661 0.25151458]
[1. 0. 0. 0.]
[0.0805553  0.03267299 0.85853076 0.0282409 ]
[1. 0. 0. 0.]
[0.4665778  0.06516455 0.1964063  0.27185124]
[1. 0. 0. 0.]
check accuracy 0.3
[0.3431787  0.07469464 0.41611472 0.16601199]
[1. 0. 0. 0.]
[0.38517013 0.06893381 0.3552202  0.19067588]
[0. 1. 0. 0.]
[0.430517   0.07262804 0.28633013 0.21052483]
[1. 0. 0. 0.]
[0.2720642  0.07785201 0.5469064  0.10317732]
[0. 1. 0. 0.]
[0.41988125 0.07309096 0.3054473  0.2015805 ]
[0. 0. 0. 1.]
[0.35477808 0.07290035 0.42407808 0.14824344]
[0. 0. 1. 0.]
[0.2767491  0.07976473 0.5404758  0.10301039]
[1. 0. 0. 0.]
[0.37732854 0.07165156 0.37196252 0.17905736]
[0. 0. 0. 1.]
[0.46715298 0.06493107 0.19838262 0.2695334 ]
[0. 1. 0. 0.]
[0.41430944 0.07341779 0.31635574 0.19591698]
[0. 0. 0. 1.]
[0.03742386 0.01393441 0.93791765 0.0107241 ]
[0. 1. 0. 0.]
[0.4342769  0.06915107 0.28529269 0.21127944]
[1. 0. 0. 0.]
[0.30741504 0.07504883 0.49426544 0.12327069]
[0. 0. 0. 1.]
[0.41766068 0.06886446 0.30133212 0.21214274]
[1. 0. 0. 0.]
[0.4700951  0.06309542 0.1827376  0.28407186]
[1. 0. 0. 0.]
[0.45133203 0.06829787 0.22969252 0.2506776 ]
[0. 0. 0. 1.]
[0.2635808  0.07944144 0.56204784 0.09492998]
[1. 0. 0. 0.]
[0.20466165 0.07607292 0.64470017 0.07456522]
[0. 1. 0. 0.]
[0.05796894 0.0223619  0.90217257 0.01749652]
[0. 1. 0. 0.]
[0.40473068 0.07394785 0.34014946 0.1811721 ]
[1. 0. 0. 0.]
check accuracy 0.2
[0.33279622 0.07413653 0.45031846 0.14274871]
[0. 0. 1. 0.]
[0.4590946  0.06721973 0.22270334 0.25098228]
[1. 0. 0. 0.]
[0.30920357 0.07356778 0.481873   0.13535567]
[1. 0. 0. 0.]
[0.08385813 0.03301456 0.8510145  0.03211282]
[0. 1. 0. 0.]
[0.4322573  0.07064722 0.28309837 0.21399714]
[0. 0. 1. 0.]
[0.3754524  0.0687343  0.36384296 0.19197032]
[1. 0. 0. 0.]
[0.0984254  0.04383405 0.82081187 0.03692869]
[0. 1. 0. 0.]
[0.43594083 0.06967406 0.2671274  0.2272577 ]
[0. 0. 0. 1.]
[0.45388925 0.06669658 0.22263412 0.25678   ]
[0. 0. 1. 0.]
[0.43918356 0.06993129 0.26083654 0.2300486 ]
[0. 0. 1. 0.]
[0.41479102 0.07407754 0.30916336 0.20196812]
[1. 0. 0. 0.]
[0.4473857  0.068514   0.24198295 0.24211732]
[0. 0. 1. 0.]
[0.26319328 0.07230262 0.55889225 0.10561192]
[0. 1. 0. 0.]
[0.46994972 0.06366459 0.1851494  0.28123632]
[0. 0. 0. 1.]
[0.4506156  0.06812764 0.24014482 0.24111198]
[0. 0. 0. 1.]
[0.3005719  0.07334419 0.50475067 0.12133317]
[0. 0. 0. 1.]
[0.43932238 0.06960934 0.25874326 0.23232494]
[0. 0. 1. 0.]
[0.30907133 0.07784975 0.49174333 0.12133563]
[1. 0. 0. 0.]
[0.19297335 0.07353728 0.6604657  0.07302376]
[1. 0. 0. 0.]
[0.16200732 0.06555884 0.70376956 0.06866422]
[1. 0. 0. 0.]
check accuracy 0.15
[0.22861747 0.07616644 0.6126005  0.08261558]
[1. 0. 0. 0.]
[0.46542567 0.06553231 0.19937408 0.26966792]
[1. 0. 0. 0.]
[0.23125471 0.07340056 0.6109336  0.0844112 ]
[1. 0. 0. 0.]
[0.45926222 0.06744719 0.22017093 0.25311974]
[0. 0. 1. 0.]
[0.45698386 0.06690273 0.21803592 0.2580774 ]
[0. 0. 1. 0.]
[0.36269587 0.07717244 0.40387756 0.1562541 ]
[0. 1. 0. 0.]
[0.45139173 0.06778855 0.2333663  0.24745348]
[0. 0. 1. 0.]
[0.45359123 0.06723955 0.22706135 0.25210792]
[0. 0. 1. 0.]
[0.47180316 0.06378214 0.18386517 0.28054953]
[0. 0. 0. 1.]
[0.44790143 0.06897385 0.24747302 0.23565164]
[0. 0. 1. 0.]
[0.4307715  0.07090924 0.27719435 0.22112487]
[0. 0. 1. 0.]
[0.13871402 0.05756879 0.7450578  0.05865944]
[1. 0. 0. 0.]
[0.05567065 0.01992047 0.9072267  0.01718217]
[0. 1. 0. 0.]
[0.4343772  0.06828486 0.26504672 0.2322913 ]
[0. 0. 0. 1.]
[0.46592036 0.06611659 0.20506117 0.26290187]
[0. 0. 0. 1.]
[0.33890286 0.07445095 0.434835   0.15181118]
[0. 0. 1. 0.]
[0.42415893 0.07170215 0.29168698 0.21245196]
[0. 0. 1. 0.]
[0.46120608 0.06655833 0.21415687 0.25807866]
[0. 0. 0. 1.]
[0.41076225 0.07058606 0.3203385  0.19831318]
[0. 0. 1. 0.]
[0.45047352 0.06449103 0.2212533  0.26378214]
[1. 0. 0. 0.]
check accuracy 0.05
[0.42554742 0.0714248  0.28849152 0.21453626]
[0. 0. 1. 0.]
[0.4570523  0.06814872 0.22652835 0.2482707 ]
[0. 0. 1. 0.]
[0.46876454 0.06418769 0.19187064 0.27517712]
[0. 0. 0. 1.]
[0.455744   0.0679263  0.2275467  0.24878298]
[0. 0. 1. 0.]
[0.43088347 0.07106514 0.2788659  0.21918552]
[0. 0. 1. 0.]
[0.10549432 0.04692073 0.8064651  0.04111983]
[0. 1. 0. 0.]
[0.44002914 0.07084253 0.26408464 0.2250437 ]
[0. 0. 0. 1.]
[0.4651433  0.0658401  0.2043125  0.26470408]
[0. 0. 0. 1.]
[0.18906493 0.07940172 0.66266334 0.06887003]
[0. 1. 0. 0.]
[0.4614929  0.06708372 0.21544978 0.25597367]
[0. 0. 0. 1.]
[0.28198317 0.07565298 0.5257438  0.11662002]
[1. 0. 0. 0.]
[0.42691198 0.07113961 0.2852999  0.21664846]
[0. 0. 1. 0.]
[0.05180031 0.0203964  0.9126241  0.01517914]
[0. 1. 0. 0.]
[0.47130665 0.06363373 0.18176515 0.2832945 ]
[0. 0. 0. 1.]
[0.19783792 0.07944221 0.65054125 0.07217855]
[0. 1. 0. 0.]
[0.42626205 0.07176664 0.28764814 0.21432313]
[0. 0. 1. 0.]
[0.44769812 0.06864306 0.25094405 0.23271482]
[0. 0. 0. 1.]
[0.46742108 0.06591208 0.20641848 0.2602483 ]
[0. 0. 0. 1.]
[0.11150254 0.04370422 0.79426265 0.05053062]
[0. 1. 0. 0.]
[0.33994848 0.07483509 0.44014522 0.14507118]
[0. 0. 1. 0.]
check accuracy 0.35
[0.4542143  0.06858415 0.23405299 0.2431485 ]
[1. 0. 0. 0.]
[0.45100898 0.06801835 0.23524097 0.24573176]
[1. 0. 0. 0.]
[0.197153   0.07155833 0.6555031  0.0757856 ]
[1. 0. 0. 0.]
[0.4569869  0.06739321 0.2276794  0.2479405 ]
[0. 0. 0. 1.]
[0.4278119  0.07066571 0.2886269  0.21289554]
[1. 0. 0. 0.]
[0.20283538 0.07176275 0.65150344 0.07389841]
[0. 1. 0. 0.]
[0.4643999  0.06509797 0.20158096 0.26892114]
[1. 0. 0. 0.]
[0.44139728 0.07037265 0.25673783 0.23149222]
[0. 0. 0. 1.]
[0.33077282 0.07863292 0.4516528  0.13894144]
[0. 0. 1. 0.]
[0.18563591 0.07639473 0.6684082  0.06956113]
[0. 1. 0. 0.]
[0.26093894 0.07839722 0.5685848  0.09207898]
[1. 0. 0. 0.]
[0.45184046 0.06828279 0.23520572 0.244671  ]
[0. 0. 1. 0.]
[0.04672432 0.01764045 0.9222449  0.0133903 ]
[0. 1. 0. 0.]
[0.32816434 0.07687874 0.4544513  0.14050561]
[0. 0. 1. 0.]
[0.38387147 0.06734306 0.34975842 0.19902703]
[0. 0. 0. 1.]
[0.41369534 0.07226606 0.30932853 0.20471005]
[0. 0. 0. 1.]
[0.25292394 0.07738248 0.5747611  0.09493256]
[0. 1. 0. 0.]
[0.16921885 0.07092123 0.68894565 0.07091422]
[1. 0. 0. 0.]
[0.46959794 0.06432396 0.18938139 0.27669674]
[0. 0. 0. 1.]
[0.37660378 0.06725182 0.36190447 0.19423997]
[1. 0. 0. 0.]
check accuracy 0.15
[0.46141857 0.06661992 0.21410398 0.25785747]
[0. 0. 0. 1.]
[0.06391632 0.02671404 0.8885873  0.02078235]
[0. 1. 0. 0.]
[0.423645   0.07147406 0.29223385 0.21264705]
[0. 0. 1. 0.]
[0.0655772  0.02779539 0.88659936 0.02002797]
[0. 1. 0. 0.]
[0.08492271 0.03454333 0.8525911  0.02794292]
[0. 1. 0. 0.]
[0.40319738 0.07148204 0.32943317 0.19588737]
[0. 0. 1. 0.]
[0.44163328 0.06999406 0.25943613 0.22893654]
[0. 0. 0. 1.]
[0.37501195 0.0715221  0.38385922 0.16960669]
[0. 1. 0. 0.]
[0.10342095 0.04565224 0.81436825 0.03655856]
[0. 1. 0. 0.]
[0.4489139  0.06774075 0.2346362  0.24870914]
[0. 0. 0. 1.]
[0.35746595 0.07089333 0.41485402 0.15678677]
[0. 0. 0. 1.]
[0.43390724 0.07177617 0.2785776  0.21573901]
[0. 0. 0. 1.]
[0.38065174 0.07269213 0.3707306  0.17592546]
[0. 0. 1. 0.]
[0.39724055 0.06933605 0.33335137 0.20007208]
[1. 0. 0. 0.]
[0.44696477 0.06871623 0.24902381 0.23529519]
[1. 0. 0. 0.]
[0.18203053 0.07389801 0.6749204  0.06915116]
[1. 0. 0. 0.]
[0.3062736  0.07348407 0.49435684 0.12588547]
[0. 1. 0. 0.]
[0.41901037 0.07227357 0.30304024 0.20567578]
[0. 0. 1. 0.]
[0.4328526  0.07095255 0.27688026 0.21931453]
[0. 0. 1. 0.]
[0.31038463 0.07663057 0.49213162 0.12085323]
[0. 0. 1. 0.]
check accuracy 0.15
[0.07162809 0.03079843 0.8738237  0.02374977]
[0. 1. 0. 0.]
[0.4252697  0.07190523 0.28607163 0.21675347]
[0. 0. 1. 0.]
[0.13375816 0.06375717 0.74471366 0.05777099]
[0. 1. 0. 0.]
[0.37114903 0.07192973 0.39189848 0.16502284]
[0. 0. 0. 1.]
[0.43293163 0.07133947 0.27190867 0.22382024]
[0. 0. 1. 0.]
[0.2894902  0.07640094 0.51786226 0.11624666]
[0. 1. 0. 0.]
[0.30234718 0.07751409 0.5060078  0.11413094]
[0. 0. 0. 1.]
[0.2973499  0.07279232 0.510048   0.11980971]
[0. 0. 0. 1.]
[0.42980486 0.07037933 0.28862688 0.2111889 ]
[0. 0. 0. 1.]
[0.40332088 0.07470641 0.34000826 0.18196447]
[1. 0. 0. 0.]
[0.43257764 0.07105727 0.2763465  0.22001863]
[0. 0. 1. 0.]
[0.402602   0.07351352 0.33956504 0.18431942]
[0. 0. 1. 0.]
[0.44653654 0.0692003  0.2490509  0.2352122 ]
[0. 0. 1. 0.]
[0.04676748 0.01754772 0.92159873 0.01408607]
[0. 1. 0. 0.]
[0.4442413  0.06823514 0.24427049 0.2432531 ]
[0. 0. 0. 1.]
[0.4041613  0.06992853 0.3241213  0.20178886]
[1. 0. 0. 0.]
[0.2825331  0.07240427 0.5383038  0.10675881]
[1. 0. 0. 0.]
[0.39309177 0.07701016 0.36273867 0.16715944]
[0. 0. 0. 1.]
[0.37862715 0.07398272 0.38187972 0.16551049]
[0. 0. 1. 0.]
[0.06385042 0.0250288  0.8914449  0.01967595]
[0. 1. 0. 0.]
check accuracy 0.15
[0.3836956  0.06561344 0.3572498  0.19344118]
[1. 0. 0. 0.]
[0.40337017 0.07126432 0.32719904 0.19816647]
[0. 0. 1. 0.]
[0.4729295  0.06323853 0.17689589 0.28693616]
[0. 0. 0. 1.]
[0.4172208  0.0731736  0.27952373 0.23008189]
[0. 0. 0. 1.]
[0.475844   0.06203838 0.1655908  0.29652688]
[0. 0. 0. 1.]
[0.09610545 0.03768843 0.82632226 0.0398839 ]
[1. 0. 0. 0.]
[0.06676435 0.0274382  0.885817   0.01998043]
[0. 1. 0. 0.]
[0.38219708 0.07221466 0.37211168 0.1734767 ]
[0. 0. 1. 0.]
[0.10074685 0.04760964 0.8158861  0.03575737]
[0. 1. 0. 0.]
[0.25936604 0.06953864 0.56431484 0.10678046]
[0. 1. 0. 0.]
[0.34141436 0.07804824 0.44240275 0.13813469]
[1. 0. 0. 0.]
[0.3402764  0.07726014 0.444464   0.13799948]
[1. 0. 0. 0.]
[0.28925538 0.07195988 0.5234829  0.1153018 ]
[0. 0. 0. 1.]
[0.45086053 0.06689195 0.23121202 0.2510355 ]
[0. 0. 1. 0.]
[0.38942862 0.07331757 0.35316247 0.18409131]
[1. 0. 0. 0.]
[0.42054924 0.07166091 0.2981667  0.20962322]
[0. 0. 1. 0.]
[0.45486137 0.06859613 0.2397514  0.23679107]
[0. 0. 0. 1.]
[0.4324008  0.07061592 0.27371868 0.2232647 ]
[0. 0. 1. 0.]
[0.09723289 0.0428272  0.8257264  0.03421346]
[0. 1. 0. 0.]
[0.39824268 0.07217573 0.33561265 0.19396886]
[1. 0. 0. 0.]
check accuracy 0.25
[0.37920216 0.07356998 0.37524736 0.17198047]
[0. 0. 1. 0.]
[0.08599908 0.03660461 0.8488151  0.02858121]
[0. 1. 0. 0.]
[0.26901245 0.07506949 0.55314237 0.10277566]
[0. 1. 0. 0.]
[0.45745817 0.06778169 0.2240696  0.2506905 ]
[0. 0. 0. 1.]
[0.46588677 0.06532882 0.19881397 0.26997036]
[0. 0. 0. 1.]
[0.4404414  0.06992388 0.25879574 0.23083907]
[0. 0. 1. 0.]
[0.41852713 0.06573927 0.2901653  0.22556832]
[0. 0. 0. 1.]
[0.4361771  0.06973075 0.2649353  0.2291568 ]
[0. 0. 1. 0.]
[0.45538288 0.06759675 0.22872068 0.24829961]
[0. 0. 1. 0.]
[0.46130866 0.06703603 0.21697636 0.254679  ]
[1. 0. 0. 0.]
[0.23324428 0.07924318 0.60198826 0.08552429]
[0. 0. 1. 0.]
[0.4528246  0.06771144 0.22327323 0.25619072]
[1. 0. 0. 0.]
[0.23496939 0.07987857 0.6039654  0.08118674]
[0. 1. 0. 0.]
[0.23214996 0.07740717 0.6066716  0.08377135]
[0. 0. 0. 1.]
[0.14322601 0.05930533 0.7350344  0.0624342 ]
[0. 1. 0. 0.]
[0.43445408 0.0694358  0.2670932  0.22901697]
[1. 0. 0. 0.]
[0.12381172 0.05649167 0.7689374  0.05075925]
[0. 1. 0. 0.]
[0.14855869 0.06786752 0.7197855  0.06378824]
[1. 0. 0. 0.]
[0.34344998 0.07743186 0.4306251  0.14849308]
[0. 0. 1. 0.]
[0.3179773  0.0735873  0.4793234  0.12911202]
[0. 1. 0. 0.]
check accuracy 0.3
[0.46996498 0.06431121 0.18864523 0.27707863]
[1. 0. 0. 0.]
[0.4122448  0.0713138  0.31884816 0.1975933 ]
[0. 0. 1. 0.]
[0.14056224 0.06846441 0.73368526 0.05728808]
[0. 1. 0. 0.]
[0.42185587 0.07362777 0.3025599  0.2019565 ]
[1. 0. 0. 0.]
[0.08047357 0.03517329 0.85497504 0.02937807]
[0. 0. 1. 0.]
[0.45963797 0.0665368  0.21491419 0.25891104]
[0. 0. 0. 1.]
[0.42242476 0.07351109 0.30166122 0.20240298]
[1. 0. 0. 0.]
[0.0718196  0.02911018 0.8759249  0.02314543]
[0. 1. 0. 0.]
[0.40162224 0.07388186 0.3346327  0.18986313]
[0. 0. 1. 0.]
[0.07162456 0.02736014 0.8778278  0.02318749]
[0. 1. 0. 0.]
[0.37558633 0.07247035 0.37484646 0.1770968 ]
[1. 0. 0. 0.]
[0.10475314 0.04217853 0.80708057 0.04598773]
[0. 1. 0. 0.]
[0.43964902 0.07018498 0.26035243 0.22981356]
[0. 0. 1. 0.]
[0.19392057 0.07512875 0.6586114  0.07233924]
[0. 1. 0. 0.]
[0.42554286 0.07114727 0.29189846 0.21141145]
[0. 0. 1. 0.]
[0.42730287 0.07142416 0.28518638 0.21608667]
[0. 0. 1. 0.]
[0.43554708 0.06998681 0.26770633 0.2267598 ]
[0. 0. 0. 1.]
[0.46810994 0.06471978 0.19393547 0.27323478]
[1. 0. 0. 0.]
[0.46193793 0.06616673 0.21366072 0.25823462]
[0. 0. 0. 1.]
[0.44535998 0.06794576 0.24259232 0.24410202]
[0. 0. 1. 0.]
check accuracy 0.25
[0.07367356 0.02896647 0.8727173  0.02464263]
[0. 1. 0. 0.]
[0.17963728 0.07430211 0.6774459  0.06861467]
[1. 0. 0. 0.]
[0.05487205 0.02068273 0.9081164  0.01632878]
[0. 1. 0. 0.]
[0.06269795 0.02336385 0.8923658  0.02157242]
[0. 1. 0. 0.]
[0.2519345  0.07768247 0.58080894 0.08957417]
[0. 0. 1. 0.]
[0.366688   0.07412269 0.39713898 0.16205034]
[0. 1. 0. 0.]
[0.0505023  0.01913503 0.91563964 0.01472293]
[0. 1. 0. 0.]
[0.4601552  0.06799059 0.21913487 0.25271934]
[1. 0. 0. 0.]
[0.4679942  0.06460238 0.19381367 0.2735897 ]
[1. 0. 0. 0.]
[0.39033398 0.07579616 0.35806975 0.17580019]
[1. 0. 0. 0.]
[0.0572526  0.02222657 0.90320647 0.01731425]
[0. 1. 0. 0.]
[0.28479254 0.07792307 0.5271585  0.11012582]
[0. 1. 0. 0.]
[0.4673036  0.0650326  0.19861594 0.26904783]
[0. 0. 0. 1.]
[0.41983765 0.07321151 0.30071393 0.20623694]
[0. 0. 1. 0.]
[0.42986265 0.07106428 0.28075382 0.21831927]
[0. 0. 1. 0.]
[0.21898802 0.07589877 0.62680477 0.07830835]
[1. 0. 0. 0.]
[0.08650458 0.03404795 0.8451904  0.03425705]
[0. 1. 0. 0.]
[0.44482478 0.07129682 0.2584652  0.2254132 ]
[1. 0. 0. 0.]
[0.3524858  0.0719678  0.41572124 0.15982506]
[0. 0. 0. 1.]
[0.39523742 0.07071582 0.35037014 0.18367662]
[0. 0. 0. 1.]
check accuracy 0.3
[0.42516926 0.07152205 0.2895683  0.21374038]
[0. 0. 1. 0.]
[0.46697864 0.06405935 0.19406389 0.2748982 ]
[1. 0. 0. 0.]
[0.44040045 0.07120359 0.26737654 0.22101946]
[1. 0. 0. 0.]
[0.4017393  0.07332636 0.32213905 0.20279528]
[1. 0. 0. 0.]
[0.42354077 0.07147867 0.29297683 0.2120037 ]
[0. 0. 1. 0.]
[0.08774883 0.03731294 0.84163314 0.03330506]
[0. 1. 0. 0.]
[0.24101128 0.07827131 0.5960914  0.08462603]
[0. 1. 0. 0.]
[0.10071546 0.04280358 0.81819856 0.0382823 ]
[0. 1. 0. 0.]
[0.44483396 0.06848921 0.24457371 0.24210304]
[1. 0. 0. 0.]
[0.4496799  0.06849493 0.23109157 0.25073355]
[1. 0. 0. 0.]
[0.17264625 0.06783815 0.68720585 0.07230963]
[1. 0. 0. 0.]
[0.46940306 0.0652551  0.19396679 0.271375  ]
[0. 0. 0. 1.]
[0.42370594 0.07220583 0.2935964  0.21049185]
[0. 0. 1. 0.]
[0.43219668 0.06944291 0.27496257 0.22339785]
[0. 0. 1. 0.]
[0.46909997 0.06456171 0.19103867 0.27529964]
[0. 0. 0. 1.]
[0.47227138 0.06344572 0.17876574 0.2855171 ]
[0. 0. 0. 1.]
[0.46559808 0.06573529 0.20445374 0.26421294]
[0. 0. 0. 1.]
[0.4283624  0.07151523 0.28548992 0.21463238]
[0. 0. 0. 1.]
[0.4563574  0.06716076 0.2271118  0.24937008]
[1. 0. 0. 0.]
[0.04362272 0.01533896 0.92903775 0.01200053]
[0. 1. 0. 0.]
check accuracy 0.25
[0.44620678 0.06883589 0.24634169 0.23861563]
[0. 0. 1. 0.]
[0.37658438 0.07990739 0.38640064 0.15710759]
[1. 0. 0. 0.]
[0.18800126 0.07145596 0.66951245 0.07103039]
[0. 0. 0. 1.]
[0.46783683 0.06487659 0.1931131  0.27417347]
[1. 0. 0. 0.]
[0.25841317 0.07742725 0.5707195  0.09344017]
[1. 0. 0. 0.]
[0.46984336 0.0647027  0.190585   0.2748689 ]
[0. 0. 0. 1.]
[0.4634708  0.066618   0.2232257  0.24668549]
[0. 0. 0. 1.]
[0.4670851  0.06542496 0.19498527 0.2725047 ]
[1. 0. 0. 0.]
[0.46556532 0.06556582 0.20223422 0.2666346 ]
[0. 0. 0. 1.]
[0.4361771  0.07059758 0.26706323 0.226162  ]
[0. 0. 1. 0.]
[0.09354746 0.0376428  0.8275098  0.04129989]
[0. 1. 0. 0.]
[0.45976806 0.06662412 0.21326266 0.26034525]
[0. 0. 0. 1.]
[0.4470149  0.06958847 0.24825737 0.23513922]
[1. 0. 0. 0.]
[0.20603609 0.08054447 0.6406289  0.07279047]
[0. 1. 0. 0.]
[0.2897649  0.07492719 0.52123815 0.11406967]
[0. 0. 1. 0.]
[0.46985006 0.06311391 0.18580128 0.28123474]
[1. 0. 0. 0.]
[0.45004827 0.06753242 0.23264843 0.24977097]
[0. 0. 1. 0.]
[0.38302135 0.0740023  0.3653948  0.17758156]
[0. 0. 1. 0.]
[0.32770705 0.07475431 0.46678847 0.13075015]
[0. 0. 0. 1.]
[0.05386125 0.02145657 0.9091467  0.01553543]
[0. 1. 0. 0.]
check accuracy 0.2
[0.4373938  0.07032384 0.26535136 0.22693102]
[0. 0. 1. 0.]
[0.36840352 0.07501754 0.39608574 0.1604932 ]
[0. 0. 0. 1.]
[0.46293294 0.06486161 0.19973537 0.27247003]
